
--- Uncategorized Transactions (Sorted by Date) ---
Amount:      -2.20, Date: 2025-10-04, Bank: amex        , Description: PUCCINOS FINSBURY PARK SEVEN SISTERS R
Amount:       1.10, Date: 2026-04-28, Bank: barclays    , Description: GOVIA TRAINS LTD DRTL33180022 BGC
Amount:      -1.00, Date: 2025-12-26, Bank: monzo       , Description: NYX*MotorFuelLimited StAlbans GBR
Amount:       0.50, Date: 2026-04-28, Bank: barclays    , Description: GOVIA TRAINS LTD DRTL33179994 BGC
Amount:      -0.50, Date: 2026-07-24, Bank: amex        , Description: WILCOMATIC LIMITED SAIN CROYDON
Amount:      -0.20, Date: 2025-12-20, Bank: monzo       , Description: NYX*TheRoyalParksLtd London GBR
Amount:       0.00, Date: 2026-06-24, Bank: monzo       , Description: GOOGLE *TEMPORARY HOLD DUBLIN 4 IRL
Amount:       0.00, Date: 2025-07-22, Bank: monzo       , Description: GOOGLE *CHROME TEMP g.co/helppay# GBR
Amount:       0.00, Date: 2025-07-02, Bank: monzo       , Description: GOOGLE *TEMPORARY HOLD g.co/helppay# GBR
----------------------------------

Tip: Edit config/categorization_map.yml to categorize these transactions.
